Modelo,Clase,FPR,TPR,Threshold,AUC
SVM,ADHD,0.0,0.0,inf,0.6929100391885661
SVM,ADHD,0.0005186721991701245,0.0,0.7002935089711181,0.6929100391885661
SVM,ADHD,0.01037344398340249,0.0,0.12696627450424397,0.6929100391885661
SVM,ADHD,0.01037344398340249,0.013888888888888888,0.12271106849755561,0.6929100391885661
SVM,ADHD,0.014004149377593362,0.013888888888888888,0.09108826200787398,0.6929100391885661
SVM,ADHD,0.014004149377593362,0.027777777777777776,0.08372091067084492,0.6929100391885661
SVM,ADHD,0.017634854771784232,0.027777777777777776,0.06605737525274973,0.6929100391885661
SVM,ADHD,0.017634854771784232,0.041666666666666664,0.0621970531778283,0.6929100391885661
SVM,ADHD,0.0254149377593361,0.041666666666666664,0.031065628886144864,0.6929100391885661
SVM,ADHD,0.0254149377593361,0.05555555555555555,0.030303915476088374,0.6929100391885661
SVM,ADHD,0.028008298755186723,0.05555555555555555,0.026797969778126558,0.6929100391885661
SVM,ADHD,0.028008298755186723,0.08333333333333333,0.026292218411603483,0.6929100391885661
SVM,ADHD,0.028526970954356846,0.08333333333333333,0.026268160699955898,0.6929100391885661
SVM,ADHD,0.028526970954356846,0.09722222222222222,0.026019825356120845,0.6929100391885661
SVM,ADHD,0.035269709543568464,0.09722222222222222,0.01950829793478457,0.6929100391885661
SVM,ADHD,0.035269709543568464,0.1111111111111111,0.01945230867366046,0.6929100391885661
SVM,ADHD,0.056016597510373446,0.1111111111111111,0.009949215450924549,0.6929100391885661
SVM,ADHD,0.056016597510373446,0.125,0.009910150557090868,0.6929100391885661
SVM,ADHD,0.06690871369294606,0.125,0.008068857030929974,0.6929100391885661
SVM,ADHD,0.06690871369294606,0.1388888888888889,0.007996288432110608,0.6929100391885661
SVM,ADHD,0.0700207468879668,0.1388888888888889,0.007487802478388572,0.6929100391885661
SVM,ADHD,0.0700207468879668,0.1527777777777778,0.007487643507278087,0.6929100391885661
SVM,ADHD,0.07935684647302904,0.1527777777777778,0.006440901587513271,0.6929100391885661
SVM,ADHD,0.07935684647302904,0.16666666666666666,0.0063806658240046854,0.6929100391885661
SVM,ADHD,0.09232365145228216,0.16666666666666666,0.005029765799497331,0.6929100391885661
SVM,ADHD,0.09232365145228216,0.18055555555555555,0.005001588915300936,0.6929100391885661
SVM,ADHD,0.0995850622406639,0.18055555555555555,0.004367515323810357,0.6929100391885661
SVM,ADHD,0.0995850622406639,0.19444444444444445,0.004361284237757174,0.6929100391885661
SVM,ADHD,0.10010373443983403,0.19444444444444445,0.004288272092253831,0.6929100391885661
SVM,ADHD,0.10010373443983403,0.20833333333333334,0.004280881967346367,0.6929100391885661
SVM,ADHD,0.11825726141078838,0.20833333333333334,0.003236920900144469,0.6929100391885661
SVM,ADHD,0.11825726141078838,0.2222222222222222,0.003234809210478819,0.6929100391885661
SVM,ADHD,0.12448132780082988,0.2222222222222222,0.002940145326946648,0.6929100391885661
SVM,ADHD,0.12448132780082988,0.2361111111111111,0.0029323188472009406,0.6929100391885661
SVM,ADHD,0.14470954356846474,0.2361111111111111,0.0024150536287070694,0.6929100391885661
SVM,ADHD,0.14470954356846474,0.25,0.0024056973551475364,0.6929100391885661
SVM,ADHD,0.14885892116182572,0.25,0.002240470510271747,0.6929100391885661
SVM,ADHD,0.14885892116182572,0.2638888888888889,0.002223340721212576,0.6929100391885661
SVM,ADHD,0.1799792531120332,0.2638888888888889,0.001479732531515221,0.6929100391885661
SVM,ADHD,0.1799792531120332,0.2777777777777778,0.0014659979922785676,0.6929100391885661
SVM,ADHD,0.1841286307053942,0.2777777777777778,0.0014047387230718934,0.6929100391885661
SVM,ADHD,0.1841286307053942,0.3055555555555556,0.0013934288423153528,0.6929100391885661
SVM,ADHD,0.19968879668049794,0.3055555555555556,0.0011903811394666302,0.6929100391885661
SVM,ADHD,0.19968879668049794,0.3194444444444444,0.0011805753895893544,0.6929100391885661
SVM,ADHD,0.2033195020746888,0.3194444444444444,0.0011475381977790195,0.6929100391885661
SVM,ADHD,0.2033195020746888,0.3333333333333333,0.0011473328303041425,0.6929100391885661
SVM,ADHD,0.20487551867219916,0.3333333333333333,0.0011276553296465483,0.6929100391885661
SVM,ADHD,0.20487551867219916,0.3472222222222222,0.0011231831457079247,0.6929100391885661
SVM,ADHD,0.21628630705394192,0.3472222222222222,0.0010443794279155808,0.6929100391885661
SVM,ADHD,0.21628630705394192,0.3611111111111111,0.0010298115819081044,0.6929100391885661
SVM,ADHD,0.22147302904564314,0.3611111111111111,0.0009628817126838576,0.6929100391885661
SVM,ADHD,0.22147302904564314,0.375,0.0009622670252871051,0.6929100391885661
SVM,ADHD,0.22614107883817428,0.375,0.0008936006138895573,0.6929100391885661
SVM,ADHD,0.22614107883817428,0.3888888888888889,0.0008808697214641806,0.6929100391885661
SVM,ADHD,0.2391078838174274,0.3888888888888889,0.0007532139750136074,0.6929100391885661
SVM,ADHD,0.2391078838174274,0.4027777777777778,0.0007501484313562351,0.6929100391885661
SVM,ADHD,0.2474066390041494,0.4027777777777778,0.0006621274835808252,0.6929100391885661
SVM,ADHD,0.2474066390041494,0.4166666666666667,0.0006606476896632087,0.6929100391885661
SVM,ADHD,0.2520746887966805,0.4166666666666667,0.0006249846264417614,0.6929100391885661
SVM,ADHD,0.2520746887966805,0.4305555555555556,0.0006229672218598409,0.6929100391885661
SVM,ADHD,0.2676348547717842,0.4305555555555556,0.0005118570033821106,0.6929100391885661
SVM,ADHD,0.2676348547717842,0.4444444444444444,0.0005116367522864331,0.6929100391885661
SVM,ADHD,0.26867219917012447,0.4444444444444444,0.0005047929557857008,0.6929100391885661
SVM,ADHD,0.26867219917012447,0.4583333333333333,0.0005011321061249429,0.6929100391885661
SVM,ADHD,0.2733402489626556,0.4583333333333333,0.000488043933991874,0.6929100391885661
SVM,ADHD,0.2733402489626556,0.4722222222222222,0.00048791356683811223,0.6929100391885661
SVM,ADHD,0.28112033195020747,0.4722222222222222,0.00046507871771027463,0.6929100391885661
SVM,ADHD,0.28112033195020747,0.4861111111111111,0.0004631639072509632,0.6929100391885661
SVM,ADHD,0.29512448132780084,0.4861111111111111,0.0004134049448230893,0.6929100391885661
SVM,ADHD,0.29512448132780084,0.5,0.0004126779169614543,0.6929100391885661
SVM,ADHD,0.31068464730290457,0.5,0.0003733774601479476,0.6929100391885661
SVM,ADHD,0.31068464730290457,0.5138888888888888,0.00037315865660860734,0.6929100391885661
SVM,ADHD,0.31742738589211617,0.5138888888888888,0.0003614869064165773,0.6929100391885661
SVM,ADHD,0.31742738589211617,0.5277777777777778,0.00036134998302697884,0.6929100391885661
SVM,ADHD,0.3184647302904564,0.5277777777777778,0.00035704112912706847,0.6929100391885661
SVM,ADHD,0.3184647302904564,0.5416666666666666,0.000356643282723069,0.6929100391885661
SVM,ADHD,0.34232365145228216,0.5416666666666666,0.0003052052997848108,0.6929100391885661
SVM,ADHD,0.34232365145228216,0.5694444444444444,0.0003030525659448819,0.6929100391885661
SVM,ADHD,0.34699170124481327,0.5694444444444444,0.00028717476924852763,0.6929100391885661
SVM,ADHD,0.34699170124481327,0.5833333333333334,0.0002857754741350065,0.6929100391885661
SVM,ADHD,0.3475103734439834,0.5833333333333334,0.00028557030219747334,0.6929100391885661
SVM,ADHD,0.3475103734439834,0.5972222222222222,0.00028145669531139323,0.6929100391885661
SVM,ADHD,0.3578838174273859,0.5972222222222222,0.00025753162230539675,0.6929100391885661
SVM,ADHD,0.3578838174273859,0.6111111111111112,0.00025669472307643214,0.6929100391885661
SVM,ADHD,0.362551867219917,0.6111111111111112,0.0002507086400033302,0.6929100391885661
SVM,ADHD,0.362551867219917,0.625,0.00025065983772628117,0.6929100391885661
SVM,ADHD,0.36358921161825725,0.625,0.00024954298539737823,0.6929100391885661
SVM,ADHD,0.36358921161825725,0.6388888888888888,0.00024896723284029143,0.6929100391885661
SVM,ADHD,0.3744813278008299,0.6388888888888888,0.0002305830374669375,0.6929100391885661
SVM,ADHD,0.3744813278008299,0.6527777777777778,0.00022997156224615055,0.6929100391885661
SVM,ADHD,0.3770746887966805,0.6527777777777778,0.00022495622542801459,0.6929100391885661
SVM,ADHD,0.3770746887966805,0.6666666666666666,0.00022318811436596327,0.6929100391885661
SVM,ADHD,0.38381742738589214,0.6666666666666666,0.00021191591974619922,0.6929100391885661
SVM,ADHD,0.38381742738589214,0.6805555555555556,0.00021158954557833095,0.6929100391885661
SVM,ADHD,0.3926348547717842,0.6805555555555556,0.0002031787548787322,0.6929100391885661
SVM,ADHD,0.3926348547717842,0.6944444444444444,0.00020271978319852605,0.6929100391885661
SVM,ADHD,0.39522821576763484,0.6944444444444444,0.0001992808856897504,0.6929100391885661
SVM,ADHD,0.39522821576763484,0.7083333333333334,0.00019924771749861063,0.6929100391885661
SVM,ADHD,0.39730290456431533,0.7083333333333334,0.00019797156886780154,0.6929100391885661
SVM,ADHD,0.39730290456431533,0.7222222222222222,0.00019783017815163474,0.6929100391885661
SVM,ADHD,0.4019709543568465,0.7222222222222222,0.00019286552980038373,0.6929100391885661
SVM,ADHD,0.4019709543568465,0.7361111111111112,0.0001911840797981933,0.6929100391885661
SVM,ADHD,0.40819502074688796,0.7361111111111112,0.00018222518024885517,0.6929100391885661
SVM,ADHD,0.40819502074688796,0.75,0.00018139770424967363,0.6929100391885661
SVM,ADHD,0.4118257261410788,0.75,0.00017838080772934742,0.6929100391885661
